buildingnumber,score_electricity,score_cooling,score_gas,score_heat,score_steam,cross_utility_score,n_utilities,cross_utility_rank,buildingname,grossarea
186,0.08504815787798742,,,5.9885727487570675,,3.0368104533175275,2,1,Norton House (0186),35831
376,4.402650356372882,2.594400243604964,,-0.24777030489598115,,2.2497600983606216,3,2,"Chilled Water Plant, East Regional (0376)",34246
29,3.44186846165149,,0.691472752200621,,,2.0666706069260554,2,3,Women's Field House (0029),5417
388,3.5613065930501233,1.8306921746272657,,0.2871732315214374,,1.8930573330662757,3,4,"Chiller Plant, South Campus Central (0388)",83056
882,-0.12890833467088866,,3.876515121796933,,,1.873803393563022,2,5,Morehouse Medical Plaza - Concourse (0882),41461
230,1.6384944732304232,,,,,1.6384944732304232,1,6,Field Hockey and Outdoor Tennis Office (0230),938
390,-0.06656555052375535,,,3.1380314360600865,,1.5357329427681656,2,7,Water Treatment (0390),19518
77,,2.2088056221949746,,-0.15027121276227257,,1.029267204716351,2,8,Central Service Building (0077),15136
153,1.7192775620974636,,-0.09649006173711314,,,0.8113937501801752,2,9,Poultry Breeding House 3 (0153),10229
307,-0.11684088586219263,,1.6885020629746896,,,0.7858305885562485,2,10,Bevis Hall (0307),81611
250,-0.1782963443223498,-0.2967523486972521,,2.8280691972860152,,0.7843401680888045,3,11,Gerlach Hall (0250),69508
178,1.3265355931765597,,-0.031409387218559875,,,0.6475631029789999,2,12,Waterman - South Storage 2 (0178),2753
371,-0.13719091769511488,0.0011373562716249525,1.8489921866830095,0.07328351812263229,1.3364761695030776,0.6245396625770459,5,13,Celeste Laboratory of Chemistry (0371),110310
1056,0.5537156854388525,,,,,0.5537156854388525,1,14,Coffey Rd Recreation Complex (1056),2481
964,0.24236007938240664,,0.8383266576995173,,,0.540343368540962,2,15,"Eleventh Ave, 45 W (0964)",4525
218,0.5337578562550227,,,,,0.5337578562550227,1,16,Recreation Service (0218),1062
362,-0.1179094374019655,,1.1806492966705233,,,0.5313699296342789,2,17,Bulk Chemical Warehouse (0362),16525
92,0.5231305967483014,,,,,0.5231305967483014,1,18,Jesse Owens Memorial Stadium (0092),29626
983,1.1598398926985338,,-0.1912065764436267,,,0.48431665812745356,2,19,Turfgrass Foundation (0983),7573
310,-0.04675132894720429,,1.0084970395190196,,,0.4808728552859077,2,20,Scott Hall (0310),59654
358,0.03906168711894082,,0.8669631519137625,,,0.4530124195163517,2,21,Sherman Studio Art Center (0358),25545
278,0.44193586698672915,,,,,0.44193586698672915,1,22,Parking Garage - Arps (0278),323165
228,0.42811258805434665,,,,,0.42811258805434665,1,23,Bill Davis Baseball Stadium (0228),42374
270,-0.17726673968316808,,0.9985549949330591,,,0.4106441276249455,2,24,Woody Hayes Athletic Center (0270),202623
162,0.39366583838221425,,,,,0.39366583838221425,1,25,Parking Garage - Ohio Union South (0162),280482
85,0.23617029496913372,,,,0.5448875738070812,0.39052893438810743,2,26,Hale Hall (0085),47001
69,1.87104597639187,0.010246075345990254,,-0.24191927123809218,-0.09564638219692989,0.38593159957570955,4,27,McCracken Power Plant (0069),110142
1106,-0.042864097833724024,0.06073544001221838,1.5751899298310994,-0.22051213945872367,,0.3431372831377175,4,28,Curl Hall (1106),27916
130,0.06068372870147662,,0.603276015197999,,,0.3319798719497378,2,29,Power House (0130),8977
347,0.7637328593319859,,-0.1291695452035948,,,0.31728165706419553,2,30,Jesse Owens Recreation Center North (0347),23728
870,,0.29211006777416404,,,,0.29211006777416404,1,31,Medical Center Tower (0870),2010690
226,0.16780776016493545,,0.39003448714712524,,,0.27892112365603033,2,32,"Kinnear Rd, 930 - Storage (0226)",13973
384,0.312792367009628,,0.21584114810127902,,,0.2643167575554535,2,33,Waterman - Rothenbuhler Honey Bee Lab (0384),6360
222,-0.03892908608735538,,0.5617615730279515,,,0.26141624347029807,2,34,Heffner Wetland Research and Education (0222),9167
1028,0.25650693163274796,,,,,0.25650693163274796,1,35,Parking Garage - Wexner Medical Center (1028),708129
287,0.24776414943168457,,,,,0.24776414943168457,1,36,Parking Garage - Neil Ave (0287),325700
288,0.2434303144958226,,,,,0.2434303144958226,1,37,Parking Garage - Ohio Union North (0288),216738
159,0.23619177915502293,,,,,0.23619177915502293,1,38,Parking Garage - Lane Ave (0159),445873
184,-0.023244593303310388,,,0.494599606388387,,0.2356775065425383,2,39,Barrett House (0184),35922
83,0.22828932312606925,,,,,0.22828932312606925,1,40,Parking Garage - Northwest (0083),228195
7,-0.1359344498223124,-0.382172693227432,,1.1993543046575015,,0.2270823872025857,3,41,Mathematics Tower (0007),61621
264,0.22368503519348631,,,,,0.22368503519348631,1,42,Satellite Communications Facility (0264),3130
869,0.33110344448602397,,0.10911655922435451,,,0.22011000185518925,2,43,Pomerene Alumnae Scholarship House (0869),5904
277,-0.2550783872575898,,0.9171967547873031,,-0.08815472571305696,0.19132121393888546,3,44,Graves Hall (0277),219994
850,0.1102490256236974,,0.23791051576270472,,,0.17407977069320107,2,45,Residence on Tenth (0850),189625
179,0.3112945577306084,,0.03403961157654446,,,0.1726670846535764,2,46,Waterman - Laboratory Headquarters (0179),8443
1109,-0.06441021742323003,0.4287215638726755,,0.09401228868281947,,0.15277454504408833,3,47,North Recreation Center (1109),29520
902,0.19144065483256775,,0.1096475607404095,,,0.15054410778648863,2,48,"Eleventh Ave, 53 W (0902)",5321
91,0.08504815787798742,,0.21483210909329084,,,0.14994013348563912,2,49,Nicklaus Museum (0091),25443
387,0.14637647360909972,,,,,0.14637647360909972,1,50,Parking Garage - Twelfth Ave (0387),234895
260,0.0948423247571028,,0.18619196994617437,,,0.1405171473516386,2,51,Mendoza House (0260),48431
95,-0.06948613661084645,0.8410954467773512,,-0.35331793924026295,,0.13943045697541392,3,52,Baker Hall (0095),224834
190,0.1211487773426842,,,,0.1562001008913054,0.13867443911699479,2,53,Morrison Tower (0190),111504
56,0.12307823903964746,,0.14805437754608372,,,0.1355663082928656,2,54,Converse Hall (0056),59254
147,-0.14553964265073474,0.9276098129659882,-0.09895957009794104,-0.17216707280333998,,0.1277358818534931,4,55,Newman and Wolfrom Laboratory of Chemistry (0147),62058
247,,,,0.1253542471439657,,0.1253542471439657,1,56,McCorkle Aquatic Pavilion (0247),126374
185,0.1491039937074828,,,0.08080417625219433,,0.11495408497983857,2,57,Halloran House (0185),30286
132,0.10053693416491827,,,,,0.10053693416491827,1,58,"Herrick Dr, 393 (0132)",3137
41,-0.11954891985158747,0.032723590112423,-0.01667433054713322,,0.5015195087717819,0.09950496212137104,4,59,Lazenby Hall (0041),69893
359,0.09945768141857408,,,,,0.09945768141857408,1,60,Parking Garage - Ninth Ave W (0359),371919
958,0.09910844651209315,,,,,0.09910844651209315,1,61,Waterman - North Storage Shed 1 (0958),3667
211,0.0942878865050105,,,,,0.0942878865050105,1,62,Adventure Recreation Center (0211),86255
965,,,0.09002176183315952,,,0.09002176183315952,1,63,German House (0965),4501
261,0.14143060447765904,,,0.03668446272987062,,0.08905753360376484,2,64,Archer House (0261),34948
868,,,0.08502677309263232,,,0.08502677309263232,1,65,Gateway F - South (0868),19344
40,0.09387192639945204,,,0.03463421106637608,,0.06425306873291406,2,66,Fechko Alumnae Scholarship House (0040),6396
1018,-0.15544019391007202,0.15213020443813047,,0.5250275901735153,-0.2711095086718875,0.06265202300742158,4,67,Fontana Laboratories (1018),124191
53,-0.1762161968514691,-0.10700951832963657,-0.5634248956346823,-0.1461845088647635,1.2634809589264424,0.054129167849178164,5,68,McPherson Chemical Laboratory (0053),117661
304,0.057613194252658075,,0.0194802065272925,,,0.03854670038997529,2,69,Athletic Maintenance (0304),10120
1037,0.09078580856287603,,-0.014040193054203606,,,0.03837280775433621,2,70,Ty Tucker Tennis Center (1037),69848
150,-0.10354926450961409,0.39783492573035834,-0.15296338510079713,0.010623400000704063,,0.03798641903016279,4,71,Evans Laboratory (0150),117574
10,-0.0579094381123591,,-0.11313272501212296,0.28410981907866734,,0.037689218651395094,3,72,Biological Sciences Greenhouses (0010),35173
54,0.011359255927420334,,0.4011301261282172,-0.30281872829583434,,0.03655688458660106,3,73,Mendenhall Laboratory (0054),123671
374,,,0.03195459261107868,,,0.03195459261107868,1,74,"Kinnear Rd, 1224 (0374)",42773
1107,0.03222106329249674,-0.019605660958390267,,0.06979988019475929,,0.027471760842955256,3,75,Blackburn House (1107),136721
25,-0.2911972978382184,0.633835066909021,,-0.26123810448261897,,0.02713322152939455,3,76,Derby Hall (0025),115334
265,0.1211487773426842,-0.06078438207927846,,0.01861827459027888,,0.026327556617894876,3,77,MacQuigg Laboratory (0265),76345
11,-0.1767909257300554,0.43659864613517096,,-0.18242760995498347,,0.025793370150044032,3,78,Arps Hall (0011),129282
267,-0.05809238151306395,,0.10873911590149593,,,0.02532336719421599,2,79,Jones Tower (0267),155353
846,-0.10694731204373505,,0.15628865366671515,,,0.024670670811490054,2,80,William Hall Complex - Neil Building (0846),129908
48,0.04634777867123749,,-0.00040873933140141844,,,0.022969519669918035,2,81,Pennsylvania Place (0048),11291
63,0.048797313624558844,,,-0.004004617326329553,,0.022396348149114644,2,82,Cockins Hall (0063),59866
852,0.052014092919471684,-0.1846302002819693,,0.19426024299630879,,0.020548045211270387,3,83,Smith-Steeb Hall (0852),262198
386,-0.20018509575559923,-0.4050846962769988,,0.6591474809124849,,0.017959229626628954,3,84,Wexner Center for the Arts (0386),131071
148,-0.20255685754845998,-0.02188284200966256,-0.08760182735659847,0.37281349298945626,,0.015192991518683821,4,85,Scott Laboratory (0148),262375
800,0.08504815787798742,,-0.0565071393037298,,,0.014270509287128808,2,86,Buckeye Village Community Center (0800),27220
864,-0.1454362902812037,,0.1585222056425885,,,0.006542957680692407,2,87,Hanley Alumnae Scholarship House (0864),5519
357,-0.0842360858445676,,0.09562362427172866,,,0.0056937692135805296,2,88,Northwood-High Building (0357),41171
892,0.005044386539907752,,,,,0.005044386539907752,1,89,Parking Garage - W Lane Ave (0892),101308
878,-0.0926950242013648,,0.0921543436725744,,,-0.00027034026439520104,2,90,Institute for Behavioral Medicine Research (0878),79960
847,-0.0036870167524513595,,,,,-0.0036870167524513595,1,91,William Hall Complex - Scholars House West (0847),19381
18,0.1211487773426842,-0.06078438207927846,-0.09895957009794104,0.01861827459027888,,-0.004994225061064105,4,92,Campbell Hall (0018),115368
360,-0.030735195418764908,,0.018173839617970797,,,-0.006280677900397056,2,93,Blankenship Hall (0360),58495
182,0.018913847495899593,,,-0.035150751867891045,,-0.008118452185995726,2,94,Haverfield House (0182),30311
352,-0.008382538758325564,,,,,-0.008382538758325564,1,95,Parking Garage - Eleventh Ave (0352),221080
995,-0.030100734621831743,,0.008718209393653385,,,-0.010691262614089179,2,96,Evans Hall (0995),27573
1110,0.07565278828279232,0.024453109476140693,0.02342914019017924,-0.16866877986460718,,-0.011283435478873734,4,97,Nosker House (1110),107132
394,-0.11301019676583125,,0.08616150183487999,,,-0.013424347465475633,2,98,Biotechnology Support Facility (0394),24429
3,-0.05841514342271324,,,0.030451707367580374,,-0.013981718027566434,2,99,Agricultural Administration (0003),99238
350,-0.08609923215206655,,0.05630353590113808,,,-0.014897848125464234,2,100,Library Book Depository (0350),68253
254,-0.0445311189204394,-0.09771833672497696,0.042544713017379575,0.021613736678554908,,-0.01952275148737047,4,101,Blackwell Inn (0254),127992
189,-0.07212386310839712,,0.023558179796194328,,,-0.024282841656101395,2,102,Drackett Tower (0189),141903
848,-0.027411207042286577,,,,,-0.027411207042286577,1,103,William Hall Complex - Scholars House East (0848),19382
263,-0.08742956131336134,,0.02879263411178734,,,-0.029318463600787,2,104,Service Building Annex (0263),58446
193,-0.10210035985676288,,0.03971750664148954,,,-0.03119142660763667,2,105,"Eleventh Ave, 33 W (0193)",26562
100,-0.0009926795829532896,,,-0.06688969196549827,,-0.03394118577422578,2,106,Mack Hall (0100),83336
951,-0.14660079534299272,,0.07819852554915348,,,-0.03420113489691962,2,107,"Kinnear Rd, 1315 (0951)",99809
290,-0.33675657691671723,,0.26732883207381664,,,-0.0347138724214503,2,108,Printing Facility (0290),42613
849,-0.034976130978190384,,,,,-0.034976130978190384,1,109,William Hall Complex - Worthington Building (0849),49975
271,0.05066462735471991,,,-0.12123043267413947,,-0.03528290265970978,2,110,Lincoln Tower (0271),321161
78,-0.08925972544443116,,,0.01861827459027888,,-0.035320725427076136,2,111,Maintenance Building (0078),51202
12,-0.11056207510680931,,,,0.03445572778008152,-0.038053173663363894,2,112,Ornamental Plant Germplasm Center (0012),18280
363,-0.075705396794562,,,-0.004065870426488816,,-0.039885633610525405,2,113,Comprehensive Cancer Center (0363),74390
921,-0.03203456294930811,,-0.049795013242062244,,,-0.040914788095685176,2,114,"Ackerman Rd, 700 (0921)",115562
227,-0.015996744344749545,,-0.06758300382392957,,,-0.041789874084339554,2,115,Center for Automotive Research (0227),42008
105,-0.15876350354675592,,-0.023081158179720302,0.052185557690543165,,-0.04321970134531102,3,116,Kennedy Commons (0105),36868
55,-0.04803095657775561,0.18253462322830194,,-0.26884008885242744,,-0.044778807400627035,3,117,Mershon Auditorium (0055),120223
22,-0.00032941790715524874,,-0.09108929239615729,,,-0.04570935515165627,2,118,Longaberger Alumni House (0022),56976
1103,-0.025642878591937812,-0.15861308209032288,-0.025139910655106124,0.01861827459027888,,-0.047694399186771985,4,119,Raney House (1103),134247
128,-0.04525465770433099,,-0.05041398973475376,,,-0.047834323719542375,2,120,"Kinnear Rd, 1260 (0128)",2784
1029,-0.10137841339344446,,-0.0010407052874424338,,,-0.051209559340443446,2,121,Central Sterile Supply (1029),60996
98,0.013305408787954026,,,-0.11592733299525124,,-0.051310962103648605,2,122,Canfield Hall (0098),61355
156,-0.031222880319992333,,-0.07303391244014812,,,-0.052128396380070226,2,123,Animal Science Building (0156),55996
276,-0.31148496955799715,0.40760925681030497,-0.5367350434883971,-0.041954354342851066,0.21469377867129807,-0.05357426638152844,5,124,Biological Sciences Building (0276),180694
165,-0.18173583852884695,0.2588180725895429,,,-0.2438913398047844,-0.055603035248029474,3,125,Harding Hospital (0165),114199
17,-0.12712851473343406,0.08425265325896922,-0.5527593836795701,0.37181484182925983,,-0.05595510083119379,4,126,Knowlton Hall (0017),174422
385,-0.10111926748575907,,-0.011807686226484537,,,-0.056463476856121804,2,127,Child Care Center (0385),40376
1101,0.048063817063220805,-0.010198679758265095,0.0038104951742991,-0.27386928008133415,,-0.05804841190051983,4,128,Torres House (1101),127073
266,-0.1325400652694675,-0.05510953570941814,,0.010660423376362405,,-0.05899639253417441,3,129,Riffe Building (0266),130130
373,-0.04865010664364639,,-0.07037935512034377,,,-0.059514730881995076,2,130,"Kinnear Rd, 1100 (0373)",47376
1006,-0.06372009795136507,,-0.05715927340173578,,,-0.06043968567655043,2,131,Covelli Center (1006),124950
308,-0.030743093201713024,,-0.08169250866428932,-0.07375663894888485,,-0.06206408027162905,3,132,Rightmire Hall (0308),97650
1105,0.004245621678013303,-0.17094941811080677,,-0.02072291790233424,,-0.06247557144504257,3,133,Busch House (1105),117017
39,-0.06381575497859149,,,,,-0.06381575497859149,1,134,Hayes Hall (0039),43685
867,,,-0.06454516433225206,,,-0.06454516433225206,1,135,Gateway F - North (0867),19356
293,-0.1394784852265062,0.12194525668382561,-0.08644955793434687,-0.15669102164587903,,-0.06516845203072662,4,136,Cunz Hall (0293),68100
103,-0.09521313513929028,,,-0.13412658907980995,0.024235898904317557,-0.06836794177159422,3,137,Paterson Hall (0103),64484
127,-0.10866502381211586,-0.03547454283246058,,,,-0.07206978332228822,2,138,Smith Electrical Substation (0127),23886
379,-0.07698244205740103,,,,,-0.07698244205740103,1,139,Telecommunications Network Center (0379),30027
76,-0.147563212748329,,,-0.007114325532701415,,-0.07733876914051521,2,140,St John Arena (0076),229280
